ID,age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,y
13829,29,technician,single,tertiary,no,18254,no,no,cellular,11,may,2,-1,0,unknown,no
22677,26,services,single,secondary,no,512,yes,yes,unknown,5,jun,3,-1,0,unknown,no
10541,30,management,single,secondary,no,135,no,no,cellular,14,aug,2,-1,0,unknown,no
13689,41,technician,married,unknown,no,30,yes,no,cellular,10,jul,1,-1,0,unknown,no
11304,27,admin.,single,secondary,no,321,no,yes,unknown,2,sep,1,-1,0,unknown,no
15046,22,student,single,secondary,no,185,no,no,cellular,8,jul,1,-1,0,unknown,yes
15505,53,blue-collar,married,secondary,no,1777,yes,no,cellular,21,nov,5,154,1,failure,yes
22341,38,admin.,divorced,secondary,no,74,yes,no,cellular,23,jul,3,-1,0,unknown,no
18051,59,management,married,tertiary,no,3342,no,no,cellular,18,mar,2,188,6,other,yes
15826,37,housemaid,single,secondary,no,465,yes,no,cellular,18,may,3,-1,0,unknown,yes
14385,47,admin.,married,secondary,no,84,no,no,telephone,29,aug,3,-1,0,unknown,no
10769,38,management,single,tertiary,no,0,yes,no,unknown,8,may,3,-1,0,unknown,no
22503,48,services,married,secondary,no,473,no,yes,cellular,6,aug,2,-1,0,unknown,no
12996,30,admin.,married,secondary,no,2931,yes,no,unknown,29,may,3,-1,0,unknown,no
14637,90,retired,divorced,primary,no,712,no,no,telephone,3,mar,1,-1,0,unknown,yes
15825,53,admin.,married,secondary,no,0,no,no,telephone,6,sep,1,655,5,failure,no
19388,36,technician,married,tertiary,no,0,no,no,cellular,22,aug,2,-1,0,unknown,no
10749,31,management,married,tertiary,no,91,no,no,unknown,27,may,2,-1,0,unknown,no
19264,52,admin.,divorced,secondary,no,1049,no,yes,unknown,4,jun,6,-1,0,unknown,no
10503,39,unemployed,married,primary,no,7005,yes,no,cellular,28,jul,2,184,3,success,yes
10219,58,services,married,secondary,no,382,no,no,cellular,26,aug,4,-1,0,unknown,no
18535,35,blue-collar,married,primary,no,2953,yes,no,telephone,6,may,2,-1,0,unknown,no
22406,20,blue-collar,single,secondary,no,76,yes,no,cellular,18,may,2,-1,0,unknown,yes
18191,29,self-employed,single,tertiary,no,805,no,no,cellular,1,jul,2,128,8,success,no
18163,41,management,married,tertiary,no,0,no,no,cellular,17,sep,4,63,11,other,yes
18962,52,unknown,married,primary,no,547,no,no,unknown,6,jun,2,-1,0,unknown,no
22528,47,admin.,married,secondary,no,2354,yes,no,unknown,15,may,1,-1,0,unknown,no
11744,30,services,married,secondary,no,0,yes,no,cellular,21,nov,4,-1,0,unknown,yes
10203,28,blue-collar,married,secondary,no,217,yes,no,unknown,3,jun,1,-1,0,unknown,no
12589,27,services,single,secondary,no,339,no,no,cellular,4,jun,1,-1,0,unknown,yes
21510,93,retired,married,unknown,no,775,no,no,cellular,4,aug,2,13,9,success,yes
19523,25,technician,married,tertiary,no,839,yes,no,cellular,18,may,3,-1,0,unknown,yes
19432,35,technician,married,secondary,no,31,no,no,cellular,25,aug,8,-1,0,unknown,no
16163,43,management,divorced,tertiary,no,0,yes,no,cellular,21,jul,1,-1,0,unknown,no
17918,35,admin.,married,secondary,no,898,yes,no,cellular,9,apr,1,-1,0,unknown,yes
22738,36,admin.,single,secondary,no,810,yes,no,unknown,17,jun,1,-1,0,unknown,no
18882,53,services,single,secondary,no,4778,yes,no,cellular,14,may,1,-1,0,unknown,no
12293,51,technician,married,tertiary,no,0,yes,no,unknown,16,may,19,-1,0,unknown,no
13192,39,technician,married,tertiary,no,14,no,no,cellular,28,jan,2,-1,0,unknown,no
13079,55,retired,married,secondary,no,119,no,yes,cellular,17,jul,1,-1,0,unknown,no
14873,53,blue-collar,married,primary,no,2144,yes,no,cellular,7,may,2,342,1,failure,no
13661,44,blue-collar,single,primary,no,1308,no,yes,unknown,19,jun,1,-1,0,unknown,no
22448,27,admin.,single,unknown,no,861,no,no,cellular,14,jun,4,-1,0,unknown,yes
19801,43,management,married,tertiary,no,-127,no,no,cellular,6,aug,2,-1,0,unknown,no
17333,30,blue-collar,married,secondary,no,5,no,no,cellular,17,apr,3,-1,0,unknown,yes
18943,56,technician,divorced,secondary,no,179,no,no,cellular,18,jul,1,-1,0,unknown,yes
12023,51,management,single,tertiary,no,2242,no,no,telephone,9,feb,8,-1,0,unknown,no
22770,39,services,married,secondary,no,52,no,no,telephone,2,feb,3,-1,0,unknown,yes
11987,49,blue-collar,married,primary,no,592,no,no,cellular,28,aug,15,-1,0,unknown,no
14001,28,technician,single,tertiary,no,356,no,no,cellular,2,mar,2,-1,0,unknown,no
14539,41,management,married,secondary,no,23,no,yes,cellular,21,nov,1,-1,0,unknown,no
14365,32,blue-collar,single,secondary,no,118,yes,no,cellular,18,nov,1,124,1,success,no
22001,30,technician,single,secondary,no,316,yes,yes,cellular,30,jan,2,2,2,other,no
